Year,Housing Units,People Left Homeless,Minors Left Homeless,Area,Type of Structure,Demolish Scope,District,Demolition Reason,Demolition carried out by
2021,8,31,14,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2021,3,5,1,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2021,7,18,12,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2021,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,NA
2021,16,78,33,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2021,6,20,12,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2021,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,NA
2021,41,80,45,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2021,14,29,14,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2021,8,27,15,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2021,18,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2021,5,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2021,2,6,4,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition of houses as punishment,
2020,27,71,32,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2020,17,104,54,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2020,35,182,94,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2020,4,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,NA
2020,36,117,62,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2020,2,6,4,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2020,9,33,13,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2020,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Salfit,Demolition on the pretext of unlawful construction,NA
2020,20,97,52,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2020,40,89,47,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2020,81,290,147,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2020,27,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2020,17,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2020,1,7,2,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition of houses as punishment,
2020,2,7,4,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition of houses as punishment,
2020,3,8,1,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition of houses as punishment,
2020,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Partial Demolition,Jenin,Demolition of houses as punishment,
2019,9,35,16,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2019,12,49,20,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2019,43,157,67,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2019,2,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,NA
2019,11,33,22,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2019,8,19,5,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2019,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Qalqiliya,Demolition on the pretext of unlawful construction,NA
2019,4,26,19,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2019,12,30,11,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2019,127,189,96,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2019,42,139,86,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2019,79,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2019,16,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2019,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Partial Demolition,Ramallah and al-Bira,Demolition for alleged military purposes,
2019,7,27,10,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbron,Demolition of houses as punishment,
2019,6,3,1,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition of houses as punishment,
2019,1,6,4,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Salfit,Demolition of houses as punishment,
2018,23,78,49,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2018,7,36,18,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2018,20,63,29,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2018,2,4,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,NA
2018,12,35,18,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2018,2,8,3,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2018,7,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2018,8,18,4,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2018,47,100,30,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2018,12,55,33,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2018,64,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2018,6,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2018,4,16,3,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
2018,3,0,0,The West Bank (Excluding East Jerusalem),Non Residential Structure,Complete Demolition,Jenin,Demolition for alleged military purposes,
2018,2,12,3,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition of houses as punishment,
2018,5,15,6,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition of houses as punishment,
2018,2,3,0,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Talkum,Demolition of houses as punishment,
2017,50,179,115,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2017,6,7,5,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2017,7,37,17,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2017,18,33,16,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2017,13,69,33,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2017,4,21,11,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2017,4,20,6,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2017,52,122,63,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2017,10,40,25,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2017,41,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2017,8,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2017,1,0,,The West Bank (Excluding East Jerusalem),Non Residential Structure,Complete Demolition,Herbon,Demolition for alleged military purposes,
2017,1,10,7,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Al-Quds,Demolition of houses as punishment,
2017,1,5,3,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition of houses as punishment,
2017,4,18,7,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition of houses as punishment,
2017,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,Partial Demolition,Ramallah and al-Bira,Demolition of houses as punishment,
2017,1,3,2,East Jerusalem,Residential Structure,Complete Demolition,East Jerusalem,Demolition of houses as punishment,
2016,85,331,180,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2016,5,7,4,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2016,36,166,87,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2016,38,231,146,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2016,57,200,96,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2016,11,58,24,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2016,44,181,63,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2016,74,213,102,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2016,15,89,51,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2016,50,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2016,2,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2016,5,6,2,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbon,Demolition for alleged military purposes,
2016,4,23,9,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Al-Quds,Demolition of houses as punishment,
2016,13,55,25,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbron,Demolition of houses as punishment,
2016,4,30,8,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Jenin,Demolition of houses as punishment,
2016,2,10,5,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition of houses as punishment,
2016,1,5,2,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Qalqiliya,Demolition of houses as punishment,
2016,4,15,5,East Jerusalem,Residential Structure,Complete Demolition,East Jerusalem,Demolition of houses as punishment,
2015,20,102,65,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2015,1,0,0,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2015,11,47,25,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2015,3,21,13,The West Bank (Excluding East Jerusalem),Residential Structure,,Jenin,Demolition on the pretext of unlawful construction,NA
2015,37,122,70,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2015,19,116,80,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2015,35,98,40,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2015,42,81,51,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2015,3,23,14,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2015,40,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2015,1,0,0,East Jerusalem,Non Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
2015,1,3,2,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Al-Quds,Demolition of houses as punishment,
2015,1,3,2,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Herbron,Demolition of houses as punishment,
2015,5,25,10,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Nablus,Demolition of houses as punishment,
2015,1,5,1,The West Bank (Excluding East Jerusalem),Residential Structure,Complete Demolition,Ramallah and al-Bira,Demolition of houses as punishment,
2015,4,18,8,East Jerusalem,Residential Structure,Complete Demolition,East Jerusalem,Demolition of houses as punishment,
2015,1,0,0,East Jerusalem,Residential Structure,Partial Demolition,East Jerusalem,Demolition of houses as punishment,
2014,26,175,104,The West Bank (Excluding East Jerusalem),Residential Structure,,Al-Quds,Demolition on the pretext of unlawful construction,NA
2014,2,20,14,The West Bank (Excluding East Jerusalem),Residential Structure,,Bethlehem,Demolition on the pretext of unlawful construction,NA
2014,19,133,66,The West Bank (Excluding East Jerusalem),Residential Structure,,Hebron,Demolition on the pretext of unlawful construction,NA
2014,33,143,71,The West Bank (Excluding East Jerusalem),Residential Structure,,Jericho,Demolition on the pretext of unlawful construction,NA
2014,13,46,22,The West Bank (Excluding East Jerusalem),Residential Structure,,Nablus,Demolition on the pretext of unlawful construction,NA
2014,7,33,19,The West Bank (Excluding East Jerusalem),Residential Structure,,Ramallah and al-Bira,Demolition on the pretext of unlawful construction,NA
2014,45,179,99,The West Bank (Excluding East Jerusalem),Residential Structure,,Tubas,Demolition on the pretext of unlawful construction,NA
2014,37,93,45,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Authorities
2014,17,74,32,East Jerusalem,Residential Structure,,East Jerusalem,Demolition on the pretext of unlawful construction,Owners
